client_ID,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,city_latitude,city_longitude,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies,dti_group,loan_income_group,income_group,loan_amount_group,risk_segment
CUST_00011,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,Female,Widowed,Master,UK,England,London,51.5074,-0.1278,Full-time,60,0.411764705882353,18584.0091778706,0.630400107974948,15,0.589860275080603,1,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00012,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Self-employed,60,0.45,2768.36055457711,0.726836055457711,12,0.140976643858564,1,Very High DTI,>=40%,Low Income,Small Loan,High Risk
CUST_00013,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,Female,Divorced,High School,Canada,BC,Victoria,48.4284,-123.3656,Unemployed,12,0.368421052631579,19816.9782198162,0.577020823366486,6,0.702574535364031,2,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00014,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,Male,Single,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Self-employed,36,0.323594674556213,25502.219510845,0.559377029501156,14,0.428105187412959,1,High DTI,30-40%,Very High Income,Very Large Loan,High Risk
CUST_00015,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Self-employed,36,0.304347826086956,23157.1494611904,0.505714343140786,5,0.195250506515349,0,High DTI,20-30%,Very High Income,Very Large Loan,High Risk
CUST_00016,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,Female,Married,Bachelor,USA,Texas,Dallas,32.7767,-96.797,Full-time,12,0.06,83241.0250995445,0.226482050199089,9,0.080297671455903,1,Medium DTI,<10%,Very High Income,Very Large Loan,Low Risk
CUST_00017,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,Male,Divorced,High School,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.291666666666667,14264.4376433881,0.410536980361568,10,0.362355335927776,0,High DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00018,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,Female,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.379976332902694,21845.1704219076,0.617137697147003,8,0.3012899522804,0,Very High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00019,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,Male,Married,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.309734513274336,5971.36200888946,0.362578424857429,11,0.880439039066071,1,Medium DTI,30-40%,Very High Income,Very Large Loan,High Risk
CUST_00020,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,Male,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Unemployed,12,0.162037037037037,1517.05875114603,0.302505439920929,10,0.54216413852002,0,Medium DTI,10-20%,Low Income,Small Loan,Medium Risk
CUST_00021,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,Male,Divorced,Bachelor,Canada,BC,Victoria,48.4284,-123.3656,Self-employed,24,0.215384615384615,17757.1179975207,0.324659187677051,10,0.860019111384049,2,Medium DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00022,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,Female,Single,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,60,0.254014598540146,18184.5391198902,0.386748460729126,13,0.598711746445818,0,Medium DTI,20-30%,Very High Income,Very Large Loan,High Risk
CUST_00023,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,Male,Single,Bachelor,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,60,0.523076923076923,13008.7281529917,0.723211202353718,14,0.688546595263849,1,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00024,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,Female,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.136612021857924,2916.7018068647,0.40224970918622,8,0.226736175549487,0,High DTI,10-20%,Low Income,Small Loan,Medium Risk
CUST_00025,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,Female,Married,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Unemployed,36,0.424375,12357.3573090364,0.578841966362955,9,0.16261932951526,1,High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00026,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,60,0.487113630325038,10275.6686692737,0.638792971825255,4,0.160413061595635,0,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00027,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,Female,Single,Bachelor,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.415909090909091,2129.21692972554,0.609474266338686,14,0.814659645589373,0,Very High DTI,>=40%,Low Income,Small Loan,High Risk
CUST_00028,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,Female,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,36,0.127272727272727,1089.41869935797,0.226310790850725,9,0.803678519584949,1,Medium DTI,10-20%,Low Income,Small Loan,Low Risk
CUST_00029,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,Female,Single,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.5,6983.78437538923,0.60744283654445,14,0.946974749482127,0,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00030,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,Male,Widowed,High School,UK,Wales,Swansea,51.6214,-3.9436,Part-time,24,0.351216085696725,1945.33005487352,0.522023887511943,5,0.751612676909847,0,High DTI,30-40%,Low Income,Small Loan,High Risk
CUST_00031,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,Male,Single,Master,USA,California,Los Angeles,34.0522,-118.2437,Part-time,36,0.173611111111111,1827.63473761339,0.332259959862273,4,0.326142647500561,0,Medium DTI,10-20%,Low Income,Small Loan,Medium Risk
CUST_00032,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,Male,Married,High School,UK,England,Manchester,53.4808,-2.2426,Part-time,60,0.266666666666667,11274.3578767116,0.360619648972597,1,0.63235906970594,0,Medium DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00033,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,Male,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,24,0.326842105263158,11548.3846435386,0.448404048879353,3,0.729054903851858,1,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00034,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,Female,Single,High School,UK,England,London,51.5074,-0.1278,Part-time,36,0.0792483660130718,80018.5841522304,0.340747007033433,9,0.700633005448906,0,Medium DTI,<10%,Very High Income,Very Large Loan,Medium Risk
CUST_00035,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,Male,Married,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Self-employed,36,0.026,57353.1464383046,0.217177154794349,9,0.793482270141194,0,Medium DTI,<10%,Very High Income,Medium Loan,Medium Risk
CUST_00036,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,Female,Single,High School,USA,New York,Buffalo,42.8864,-78.8784,Full-time,60,0.208333333333333,957.756035802753,0.288146336316896,11,0.676123897298202,1,Medium DTI,20-30%,Low Income,Small Loan,Medium Risk
CUST_00037,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,Male,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Self-employed,60,0.625,13531.1449163397,0.906898852423743,7,0.0860434595756154,1,Very High DTI,>=40%,Medium Income,Very Large Loan,High Risk
CUST_00038,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,Female,Divorced,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Part-time,60,0.46875,18066.1951193459,0.75103429873978,1,0.756789537789629,1,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00039,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,Female,Single,High School,USA,Texas,Dallas,32.7767,-96.797,Unemployed,36,0.4,12013.3433967558,0.560177911956743,4,0.8186212631467,1,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00040,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,N,4,Male,Married,High School,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,60,0.41958041958042,10969.3204244912,0.572997488454422,3,0.633211985847351,1,High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00041,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.48348106365834,14168.0885565551,0.7118144811693,10,0.737139237151686,0,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00042,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,Male,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Part-time,36,0.208333333333333,3439.12091438178,0.494926742865148,15,0.472810618903116,1,High DTI,20-30%,Low Income,Small Loan,Medium Risk
CUST_00043,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,Female,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,24,0.0666666666666666,76506.5356878614,0.321688452292871,8,0.898014794914579,1,Medium DTI,<10%,Very High Income,Large Loan,Medium Risk
CUST_00044,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,Female,Single,Master,USA,California,Los Angeles,34.0522,-118.2437,Part-time,12,0.0808333333333333,30304.0053870736,0.181846684623579,3,0.567247432000761,0,Low DTI,<10%,Very High Income,Very Large Loan,High Risk
CUST_00045,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,Male,Married,Master,USA,California,San Francisco,37.7749,-122.4194,Full-time,60,0.0333333333333333,82483.8764153096,0.308279588051032,10,0.126388906948923,1,Medium DTI,<10%,Very High Income,Medium Loan,Medium Risk
CUST_00046,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,Female,Single,Bachelor,USA,Texas,Dallas,32.7767,-96.797,Full-time,24,0.0833333333333333,80410.3067952206,0.351367689317402,14,0.358315130380323,0,Medium DTI,<10%,Very High Income,Very Large Loan,High Risk
CUST_00047,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,Male,Single,Bachelor,UK,Wales,Cardiff,51.4816,-3.1791,Self-employed,12,0.06,56336.2398650672,0.247787466216891,8,0.925818016017874,1,Medium DTI,<10%,Very High Income,Large Loan,High Risk
CUST_00048,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,Male,Divorced,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.371793282934688,21629.7552324349,0.639853206499379,12,0.817919095679106,1,Very High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00049,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,Female,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.452488687782805,15791.8222282609,0.690676051708309,12,0.116220786556333,0,Very High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00050,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,Male,Single,High School,UK,England,Manchester,53.4808,-2.2426,Part-time,36,0.336972637821809,16421.4231761962,0.521424980637509,2,0.853945659349885,0,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00051,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4,Female,Single,Master,USA,Texas,Houston,29.7604,-95.3698,Full-time,24,0.384615384615385,12106.0490389942,0.539821141525567,7,0.523437658595389,0,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00052,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,Male,Married,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.384615384615385,9921.27946845798,0.511811275236641,7,0.478391975279891,0,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00053,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,Female,Married,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Full-time,12,0.326072779444372,19401.201525708,0.536946236312638,5,0.422861728399751,1,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00054,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,Female,Widowed,Bachelor,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,24,0.309278350515464,7328.23530189028,0.384827168060725,9,0.506018555402394,1,Medium DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00055,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,Female,Divorced,High School,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.25,15007.2946527985,0.375060788773321,11,0.890105597943041,0,Medium DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00056,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,Male,Married,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.0357142857142857,41379.2143638438,0.183497194156585,2,0.775926903436873,1,Low DTI,<10%,Very High Income,Medium Loan,High Risk
CUST_00057,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,Male,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Full-time,60,0.0721750678445637,77101.2517072836,0.350414471488263,7,0.105607585942854,0,Medium DTI,<10%,Very High Income,Large Loan,Medium Risk
CUST_00058,23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4,Male,Single,Bachelor,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.126353790613718,73129.3306422334,0.390358594376294,4,0.454316438075238,0,Medium DTI,10-20%,Very High Income,Very Large Loan,Medium Risk
CUST_00059,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,Male,Single,PhD,USA,California,Los Angeles,34.0522,-118.2437,Part-time,36,0.234375,21438.4171791515,0.401862634212121,10,0.493797250588246,0,High DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00060,24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3,Male,Single,Bachelor,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,36,0.145833333333333,2467.21339572613,0.351434449643844,1,0.647043919025657,1,Medium DTI,10-20%,Low Income,Small Loan,High Risk
CUST_00061,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,Male,Divorced,High School,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,12,0.229007633587786,34431.3902178276,0.491842673418531,7,0.50571816608698,1,High DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00062,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,Female,Married,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.0436363636363636,76162.2859308632,0.320590130657684,2,0.82100034890108,0,Medium DTI,<10%,Very High Income,Large Loan,Medium Risk
CUST_00063,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,Female,Single,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.0380228136882129,63598.5487104648,0.279842390534087,13,0.944370005804322,0,Medium DTI,<10%,Very High Income,Medium Loan,Low Risk
CUST_00064,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,Male,Married,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.112688753662384,57661.7022630067,0.372601768145173,9,0.793683265460514,1,Medium DTI,<10%,Very High Income,Very Large Loan,High Risk
CUST_00065,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,Male,Divorced,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.415714285714286,16840.4519005007,0.656292170007153,12,0.628787446862761,0,Very High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00066,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,Female,Married,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,12,0.125,2503.48441245156,0.33362370103763,12,0.866312021260398,0,Medium DTI,10-20%,Low Income,Small Loan,High Risk
CUST_00067,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,Female,Single,Bachelor,UK,Wales,Cardiff,51.4816,-3.1791,Full-time,36,0.107692307692308,61419.9845593513,0.343923017535966,15,0.424518894140569,0,Medium DTI,10-20%,Very High Income,Very Large Loan,Medium Risk
CUST_00068,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,Female,Divorced,Master,USA,California,San Francisco,37.7749,-122.4194,Full-time,24,0.0772200772200772,31530.274966524,0.19895859060434,8,0.269109911840922,1,Low DTI,<10%,Very High Income,Large Loan,High Risk
CUST_00069,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,Female,Married,High School,Canada,BC,Vancouver,49.2827,-123.1207,Self-employed,36,0.0376470588235294,25386.7476540499,0.137202931976666,9,0.524549762494087,1,Low DTI,<10%,Very High Income,Medium Loan,Low Risk
CUST_00070,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,Female,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Full-time,36,0.1,62425.338765806,0.349701355063224,8,0.345013492969609,0,Medium DTI,<10%,Very High Income,Very Large Loan,Medium Risk
CUST_00071,25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,Male,Single,High School,UK,England,London,51.5074,-0.1278,Full-time,60,0.25,3485.80803339809,0.540484002783174,9,0.838548747557129,0,High DTI,20-30%,Low Income,Small Loan,High Risk
CUST_00072,22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2,Female,Widowed,High School,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.491659350307287,6052.19147122825,0.597931369117265,9,0.191376010451344,0,High DTI,>=40%,Medium Income,Very Large Loan,High Risk
CUST_00073,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,Male,Married,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,24,0.25,2298.19936587447,0.441516613822872,11,0.177370932592502,0,High DTI,20-30%,Low Income,Small Loan,High Risk
CUST_00074,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,Female,Married,High School,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,60,0.430769230769231,10103.2995837555,0.586204608980853,7,0.24714708244091,0,High DTI,>=40%,High Income,Very Large Loan,High Risk
CUST_00075,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,Female,Single,High School,USA,New York,New York City,40.7128,-74.006,Part-time,36,0.329411764705882,13066.0283997218,0.48312974587908,7,0.161327604380894,1,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00076,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,Female,Single,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,24,0.508333333333333,3205.23852510425,0.775436543758687,12,0.64408970475997,1,Very High DTI,>=40%,Low Income,Medium Loan,High Risk
CUST_00077,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,36,0.318181818181818,25698.4208820857,0.610209328205519,13,0.676435267857839,0,Very High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00078,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Female,Widowed,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Part-time,36,0.35,871.490712789809,0.422624226065817,9,0.260915235720783,0,High DTI,30-40%,Low Income,Small Loan,High Risk
CUST_00079,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Female,Single,PhD,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.395833333333333,2949.9869111586,0.641665575929883,5,0.296026428314894,1,Very High DTI,30-40%,Low Income,Small Loan,High Risk
CUST_00080,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,Female,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Self-employed,36,0.337333140571539,8806.57836769457,0.443431381230959,9,0.730273462397153,1,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00081,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,Female,Married,Bachelor,USA,California,San Francisco,37.7749,-122.4194,Unemployed,12,0.072,63732.3477714375,0.32692939108575,10,0.179653588707403,0,Medium DTI,<10%,Very High Income,Large Loan,High Risk
CUST_00083,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,Female,Single,PhD,USA,New York,New York City,40.7128,-74.006,Self-employed,60,0.28,24412.2704993034,0.524122704993034,2,0.569122259226821,1,High DTI,20-30%,High Income,Very Large Loan,High Risk
CUST_00084,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,Female,Single,Bachelor,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.254545454545455,12920.3220657331,0.372002927870301,6,0.702639078517212,0,Medium DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00085,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4,Female,Single,High School,UK,England,London,51.5074,-0.1278,Full-time,36,0.225,1439.14839275873,0.344929032729894,15,0.853664449148397,0,Medium DTI,20-30%,Low Income,Small Loan,Medium Risk
CUST_00086,22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,Female,Married,High School,USA,Texas,Houston,29.7604,-95.3698,Unemployed,36,0.259259259259259,17926.5412929021,0.425245752712056,2,0.807400761786714,0,High DTI,20-30%,Very High Income,Very Large Loan,Medium Risk
CUST_00087,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,Female,Married,PhD,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,36,0.185185185185185,27882.6786107456,0.369594435256254,11,0.932962430083583,2,Medium DTI,10-20%,Very High Income,Very Large Loan,Medium Risk
CUST_00088,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,Female,Single,Master,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.4,4108.31870170783,0.459540850749389,8,0.0965457861906565,1,High DTI,30-40%,High Income,Very Large Loan,High Risk
CUST_00089,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Male,Single,Master,UK,Wales,Cardiff,51.4816,-3.1791,Full-time,24,0.270833333333333,2049.7138178086,0.441642818150716,6,0.265435119648841,0,High DTI,20-30%,Low Income,Small Loan,High Risk
